Commodity,mean,std,cv
Ashgourd,28.536082474226806,161.22597119775648,5.6498985571468125
He Buffalo,20041.666666666668,22314.343464292742,1.1133975948919455
Chikoos(Sapota),3320.0,2438.783421298415,0.7345733196681973
Ginger(Green),6928.6657894736845,4507.206581430676,0.6505158017981197
Kankambra,325.69444444444446,208.36267399024004,0.6397489350659822
Dry Chillies,21329.569948186527,13467.713844000542,0.6314104727247718
Rice,4384.710213776722,2303.8724443062206,0.525433228647009
Bhindi(Ladies Finger),3425.0,1759.8896381482389,0.5138363907002157
Tender Coconut,16057.326086956522,8211.287508293568,0.511373279948749
Onion,1327.9561643835616,656.542450908812,0.4944006952319692
Marigold(Calcutta),39.375,19.165749381829258,0.48674919064963196
Ber(Zizyphus/Borehannu),2760.0,1299.2305415129372,0.4707357034467164
Ridgeguard(Tori),3408.005617977528,1600.294589067693,0.469569234459591
Bottle gourd,1577.6439790575917,739.2721875728994,0.4685925325272086
French Beans (Frasbean),7976.666666666667,3737.544393748133,0.4685596816232511
Coconut,21279.73148148148,9921.981022618684,0.4662643901899424
Tomato,2504.9346405228757,1157.9253375852304,0.46225770479325845
Grapes,4644.658333333334,2113.222074167621,0.45497901514125455
Sweet Potato,2132.651567944251,967.6542596829197,0.4537329370759241
Mango,2793.34009009009,1213.4775332929587,0.4344181138551668
Cabbage,1756.6024096385543,749.2068001979015,0.4265090359019042
Kinnow,6125.0,2594.0637360455635,0.4235206099666226
Arecanut(Betelnut/Supari),14332.621359223302,5752.254775501901,0.4013400362244427
Orange,4460.090909090909,1761.186398033873,0.39487679375415513
Mousambi(Sweet Lime),3942.1264367816093,1547.2379141916367,0.3924881504954511
Corriander seed,12727.934579439252,4897.140336646667,0.3847553038619104
Potato,1939.263282172373,734.0376053134293,0.3785136407528721
Banana,2008.8186813186812,730.2435384412319,0.36351889059587317
Carrot,3857.6151960784314,1398.1752803069392,0.3624455030476586
Kakada,414.6551724137931,148.130800275121,0.35723852041401327
Ladies Finger,2418.2361623616234,854.9978230113259,0.35356258264550317
Tamarind Fruit,9892.368421052632,3489.101434038484,0.3527063778390104
Castor Seed,4638.333333333333,1630.3975997692505,0.3515050520522998
Green Chilli,3648.454106280193,1282.123891136425,0.3514156554496511
Chilly Capsicum,3928.0898876404494,1375.4328875637784,0.3501531092482159
Capsicum,4471.694214876033,1550.7441733470139,0.3467911934112437
Cucumbar(Kheera),1981.4285714285713,681.9453191672407,0.34416851003393545
She Buffalo,60432.13333333333,20605.330846457044,0.3409664645264392
Mataki,7396.0,2484.6219028254586,0.3359413064934368
Bull,26666.666666666668,8886.489575175168,0.3332433590690688
Ox,38071.42857142857,12621.497446903746,0.331521508924301
Garlic,10226.560975609756,3375.7465826189064,0.33009597172207034
Peas Wet,10876.851851851852,3519.839803105994,0.3236083244534327
Cow,56356.666666666664,18036.66624994111,0.32004494440068215
Beans,5634.965909090909,1799.714583088785,0.3193834021578196
Lime,4989.014084507042,1555.6754664587504,0.31182021940763166
Drumstick,4585.8536585365855,1423.6603190260632,0.3104460859486682
Paddy(Common),2399.456043956044,724.4436305331965,0.30191994237943526
Maize,2196.7629063097515,659.3442153030583,0.300143549132784
Sheep,9549.181818181818,2844.7019198831736,0.2979000687228312
Water Melon,1602.8650306748466,475.205965940974,0.29647285132978435
Knool Khol,2319.8924731182797,672.3753691384902,0.2898304024559888
Brinjal,2527.638190954774,719.4026697602534,0.28461457511389743
Turmeric,14485.441860465116,4119.437630957512,0.28438467190984534
Foxtail Millet(Navane),3948.3125,1113.9083608790133,0.2821226437570515
Papaya,1449.331081081081,404.9922715062301,0.2794339242377521
Ginger(Dry),16660.714285714286,4542.99128782676,0.2726768618631281
Black Gram Dal (Urd Dal),5899.714285714285,1596.1151005756803,0.27054108441158803
Snakeguard,1850.877192982456,492.22959687672693,0.26594395281491406
Cluster beans,3860.4790419161677,1023.7809726595817,0.2651953194263226
Soapnut(Antawala/Retha),8546.777777777777,2248.222507770182,0.26304913573577615
Copra,33225.0,8615.594710884572,0.25931060077906914
Methi Seeds,8615.860465116279,2226.2445270796647,0.25838911111585877
Green Peas,6466.865853658536,1663.4346199562574,0.2572242346754716
Bitter gourd,2831.877729257642,726.8874179112116,0.2566803680827563
Cauliflower,2172.769230769231,554.4007790184132,0.2551586110330444
Seemebadnekai,2119.1176470588234,534.1326986672591,0.25205429222327286
Jowar(Sorghum),3589.899470899471,894.6351957402333,0.24920898286772275
Thondekai,2412.2727272727275,589.6437421289206,0.2444349411501084
Guava,6990.178571428572,1667.1457545551373,0.2384983069487487
Mustard,9223.07142857143,2191.3892044634376,0.23759863744250154
Kulthi(Horse Gram),5106.318181818182,1188.1996746027514,0.2326920556641997
Suvarna Gadde,3304.310344827586,768.5632088641338,0.2325941357376455
Sweet Pumpkin,919.4444444444445,213.1184805351916,0.2317904924249818
Raddish,2358.3705583756346,539.8817044900245,0.22892149097293543
Groundnut,5504.689138576779,1249.0057206514034,0.22689850220576308
Black Gram (Urd Beans)(Whole),4970.25,1118.5850235092892,0.22505608842800445
Bullar,5504.0,1224.2503375081785,0.2224292037623871
Ground Nut Seed,13080.295918367347,2846.7270488951012,0.21763475892756587
Karbuja(Musk Melon),1819.0,371.83125076022884,0.2044152010776409
Soyabean,5805.048859934854,1184.1873033858824,0.2039926505285559
Cowpea (Lobia/Karamani),5020.559322033899,1020.4286163546155,0.20324998688417562
Black pepper,66668.125,13307.277261896965,0.19960479257361693
Black Gram(Urd Beans)(Whole),9857.372881355932,1955.1321759878738,0.19834211402165558
Ragi(Finger Millet),4091.1105263157897,806.5967786823057,0.19715839342250152
Bengal Gram(Gram)(Whole),5789.046428571429,1125.7291104411956,0.19445846985873863
Cowpea(Lobia/Karamani),7200.632352941177,1371.222484363582,0.1904308423417134
Wheat,3662.5,691.3946453043698,0.18877669496365046
Alsandikai,3487.5,655.4955146664996,0.1879557031301791
Green Gram (Moong)(Whole),6099.520833333333,1112.604554488176,0.18240851779829856
Banana - Green,2184.777777777778,396.3375398355119,0.18140862831305535
Field Pea,3666.6666666666665,664.5800679125629,0.18124910943069897
Alasande Gram,7521.0,1336.7100324465944,0.17773035932011624
Pomegranate,13380.59375,2373.245945066009,0.17736477090682234
Beetroot,2529.494382022472,437.2781014371957,0.17287174248933
Same/Savi,3892.9,656.2523989374146,0.16857674200144226
Red gram/Arhar/Tur(whole),6271.909090909091,1051.9078338471918,0.16771732794595107
White Pumpkin,1665.4444444444443,273.684012498571,0.16433091683815726
Apple,15008.046875,2462.085109089369,0.16405100074618262
Green Gram(Moong)(Whole),9617.244444444445,1564.7716321228856,0.16270477902085573
Yam (Ratalu),5750.0,925.8200997725514,0.16101219126479155
Bajra(Pearl Millet/Cumbu),2718.7283950617284,428.2969767680388,0.15753577207123493
Black Gram Dal(Urd Dal),10807.73,1678.5664209062268,0.15531165387238827
"Sesamum(Sesame,Gingelly,Til)",14072.66265060241,2155.504520632248,0.15316962924141275
Astera,107.0,16.36391694484477,0.15293380322284833
Paddy(Dhan)(Common),2164.9166666666665,330.8439506730775,0.15282064005839063
Sunflower,4920.0,746.7644876398448,0.15178139992679773
Pineapple,3004.880681818182,437.47772184465543,0.14558904933953917
Cotton,6889.831258644536,994.5813770281651,0.14435496889423574
Bunch Beans,5081.481481481482,725.1359071001855,0.14270167268006564
Colacasia,3840.625,527.3261956954791,0.13730218276855435
Gur(Jaggery),4659.764331210191,602.7155550158327,0.12934464324278414
Chennangi Dal,7339.84375,923.8111058681841,0.12586250298150886
Indian Beans (Seam),6433.333333333333,773.735527597555,0.12026977112915363
Red gram split/Arhar dal/Tur dal,10812.858208955224,1249.4239704518322,0.11554983393910202
Green Avare(W),3775.0,399.6610009278496,0.10587046382194691
Sunflower/Sunflower Seed,7062.518072289156,685.1046806509916,0.09700572425281317
Arhar (Tur/Red Gram)(Whole),7822.0,739.918238726415,0.09459450763569612
Goat,6945.833333333333,640.1201355048815,0.09215886773915512
Avare Dal,7409.392857142857,671.3556952739132,0.09060873248564597
Chapparad Avare,3864.814814814815,328.2109006302028,0.08492280131303762
Lint,16501.0,1383.8046104851653,0.083861863552825
Green Gram Dal(Moong Dal),10399.714285714286,848.6313938837195,0.08160141428591494
Honge seed,4426.615384615385,359.4286063697811,0.08119716197141685
Red Gram,6403.333333333333,492.3589476523538,0.07689103815497457
Dry Grapes,58775.0,3981.7841808864896,0.0677462217079794
Elephant Yam(Suran)/Amorphophallus,3656.0,243.37899115029072,0.06656974593826333
Cashewnuts,14715.384615384615,926.324415675698,0.06294938527853672
Bengal Gram Dal(Chana Dal),7368.361904761905,445.0367989065078,0.060398336110349934
Neem Seed,7205.692307692308,367.60033745518524,0.051015269839202
Tamarind Seed,2672.3076923076924,94.0056420048549,0.03517770138350932
She Goat,9833.333333333334,288.67513459481313,0.029356793348625062
Little gourd (Kundru),5040.0,89.44271909999165,0.017746571249998344
Leafy Vegetable,2800.0,0.0,0.0
Groundnut pods (raw),3500.0,,
Niger Seed(Ramtil),13500.0,,
Ram,10000.0,,
Safflower,6700.0,,
T.V. Cumbu,5300.0,,
Wood,400.0,,
