Commodity,mean,std,cv,Risk_Level
Rice,4424.812195121951,2311.5834423827014,0.5224139105680151,High
Onion,1320.0664819944598,634.2155712834095,0.4804421443419933,High
Tomato,2509.339325842697,1149.5373783171178,0.45810359981150633,High
Mango,2790.509132420091,1213.2846103379857,0.434789693479969,Medium
Cabbage,1758.8354114713218,740.9701160255338,0.42128451087170726,Medium
Potato,1940.4465786314527,733.7882458522351,0.3781543145443134,Medium
Banana,2006.2777777777778,730.1379505291085,0.36392664994666607,Medium
Carrot,3873.493702770781,1394.6715329908297,0.360055195647587,Medium
Maize,2208.6799204771373,667.9871552478309,0.3024372834899168,Medium
Brinjal,2533.2071611253195,720.0111114170193,0.28422906837874673,Low
